status_id,text,lang,name,time,media_url,hashtag,favorite_count,retweets_count,source
1369721818219753472,"Anit, quan vaig fer la piulada, vaig tindre dubtes entre aquestes dues disposicions. Deixe l'altra per ací. Per mi,… https://t.co/hMeINGPBFD",ca,Salvanebot,befor game,None,,0,0,Twitter Web App
1369721815430529030,RT @JooVito05012066: Obgd meu Deus por esse dia!! Hj tem champions #PSGbarca,pt,Diegozanet1,befor game,None,#PSGbarca,0,1,Twitter for iPhone
1369721814109261825,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,appiahdavid_,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,77,Twitter for Android
1369721813719220229,"RT @FCBarcelona_es: 🏟 Parque de los Príncipes

🔵🔴 ¡Vamos #Culers! ¿Desde dónde animaréis al equipo? 🙌🌍

#PSGBarça https://t.co/VN4lTIyLMr",es,Abu_Mohammed511,befor game,http://pbs.twimg.com/media/EwI3I82XIAEM3g-.jpg,#Culers#PSGBarça,0,79,Twitter for iPhone
1369721811512987657,"RT @SUQ66: Paris SG 🇫🇷 vs 🇪🇸 Barcelona

#PSGbarca  Live HD Stream

Match Links:
1- https://t.co/putMle2757
2- https://t.co/hZ8v0s47E5
3- ht…",en,_John_utd,befor game,None,#PSGbarca,0,12,Twitter for Android
1369721809415909378,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,Wiannis4WVP,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,79,Twitter for iPhone
1369721806345617411,RT @fcbarcelona_fra: Le 1⃣1⃣ du Barça pour tenter la remontada #PSGBarça https://t.co/wP20PfvWG1,fr,yalili_y2,befor game,http://pbs.twimg.com/media/EwI2CX0XIAIWQYu.jpg,#PSGBarça,0,46,Twitter for iPhone
1369721806240821249,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,BigChiefJozi,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,550,Twitter for Android
1369721802985979911,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,JoanLaporta2026,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,369,Twitter for Android
1369721801878683656,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,Hassanjamiudol1,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,85,Twitter for Android
1369721800955924484,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,bamsa_pal,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,86,Twitter for iPhone
1369721798976299016,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,Ultrastrikers1,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,555,Twitter for Android
1369721796283555845,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,Rachelmtolos,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,370,Twitter for Android
1369721796094738432,"RT @MiklOfficiel: .@championsleague ce soir 😎 quel maillot vous voulez gagner? @FCBarcelona ou @PSG_inside ? 

➡️Pour participer :
- faut s…",fr,AntoineFssrt,befor game,None,,0,4,Twitter Web App
1369721795994136579,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,ohmymisscomer,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,90,Twitter for iPhone
1369721795616604161,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,SirEben14,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,91,Twitter for Android
1369721795067183106,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,Nadine292167691,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,561,Twitter for Android
1369721793683066886,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,FatiKing_,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,91,Twitter for Android
1369721792919523329,"RT @FCBarcelona_es: 🙌 #PSGBarça ⚽️
👥 XI
💙❤️ Força Barça! https://t.co/Zzxedsdz4N",ca,devil_lm10vj,befor game,http://pbs.twimg.com/media/EwI3jg1XAAAr-AJ.jpg,#PSGBarça,0,371,Twitter for Android
1369721792466722825,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,slaterzevallos1,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,91,Twitter for iPhone
1369721789186797569,"RT @marca: 📺 SEÑAL TV | ¡Empezamos la mejor previa del #PSGBarça! En streaming, por aquí https://t.co/ONz18rhRHP con @Estepa_MARCA #UCL",es,Estepa_MARCA,befor game,None,#PSGBarça#UCL,0,8,Twitter for iPhone
1369721787538235392,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,RipDnl18,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,564,Twitter for iPhone
